**** The Simulator log: stage 4
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-3,20]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.5, open/close: 2.0,  start/stop: 3.0
2) ex0.simulator.Elevator_A, Elev_2, speed: 2.0, open/close: 2.0,  start/stop: 3.0
3) ex0.simulator.Elevator_A, Elev_3, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,3600.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 500
0.0,**** Simulation starts!! ****
96.0, elevID,10,  pos,-1,  cmd, goto,-1
97.0, elevID,10,  pos,-1,  cmd, goto,-1
97.0,Elevator call,96.61997031673536,-1,8,1,2, got allocated to elevator, 2
97.0, elevID,8,  pos,0,  cmd, goto,0
97.0, elevID,9,  pos,-2,  cmd, goto,-2
97.0,Elev,10,  arrived at src, -1, Elevator call,96.61997031673536,-1,8,2,2
97.0, elevID,10,  pos,-1,  cmd, goto,-1
98.0, elevID,8,  pos,0,  cmd, goto,0
98.0, elevID,9,  pos,-2,  cmd, goto,-2
98.0, elevID,10,  pos,-1,  cmd, goto,-1
99.0, elevID,8,  pos,0,  cmd, goto,0
99.0, elevID,9,  pos,-2,  cmd, goto,-2
99.0, elevID,10,  pos,-1,  cmd, goto,-1
100.0, elevID,8,  pos,0,  cmd, goto,0
100.0, elevID,9,  pos,-2,  cmd, goto,-2
100.0, elevID,10,  pos,-1,  cmd, goto,-1
101.0, elevID,8,  pos,0,  cmd, goto,0
101.0, elevID,9,  pos,-2,  cmd, goto,-2
101.0, elevID,10,  pos,-1,  cmd, goto,-1
102.0, elevID,8,  pos,0,  cmd, goto,0
102.0, elevID,9,  pos,-2,  cmd, goto,-2
102.0, elevID,10,  pos,-1,  cmd, goto,-1
103.0, elevID,8,  pos,0,  cmd, goto,0
103.0, elevID,9,  pos,-2,  cmd, goto,-2
103.0, elevID,10,  pos,-1,  cmd, goto,-1
104.0, elevID,8,  pos,0,  cmd, goto,0
104.0, elevID,9,  pos,-2,  cmd, goto,-2
104.0, elevID,10,  pos,-1,  cmd, goto,-1
105.0, elevID,8,  pos,0,  cmd, goto,0
105.0, elevID,9,  pos,-2,  cmd, goto,-2
105.0, elevID,10,  pos,-1,  cmd, goto,-1
106.0, elevID,8,  pos,0,  cmd, goto,0
106.0, elevID,9,  pos,-2,  cmd, goto,-2
106.0, elevID,10,  pos,-1,  cmd, goto,-1
107.0, elevID,8,  pos,0,  cmd, goto,0
107.0, elevID,9,  pos,-2,  cmd, goto,-2
107.0, elevID,10,  pos,-1,  cmd, goto,-1
108.0, elevID,8,  pos,0,  cmd, goto,0
108.0, elevID,9,  pos,-2,  cmd, goto,-2
108.0, elevID,10,  pos,-1,  cmd, goto,-1
109.0, elevID,8,  pos,0,  cmd, goto,0
109.0, elevID,9,  pos,-2,  cmd, goto,-2
109.0, elevID,10,  pos,-1,  cmd, goto,-1
110.0, elevID,8,  pos,0,  cmd, goto,0
110.0, elevID,9,  pos,-2,  cmd, goto,-2
110.0, elevID,10,  pos,-1,  cmd, goto,-1
111.0, elevID,8,  pos,0,  cmd, goto,0
111.0, elevID,9,  pos,-2,  cmd, goto,-2
111.0, elevID,10,  pos,-1,  cmd, goto,-1
112.0, elevID,8,  pos,0,  cmd, goto,0
