**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 100
0.0,**** Simulation starts!! ****
5.0,Elevator call,4.374727290393253,0,-1,1,0, got allocated to elevator, 0
121.0, elevID,2,  pos,0,  cmd, goto,0
121.0, elevID,3,  pos,3,  cmd, goto,3
122.0, elevID,2,  pos,0,  cmd, goto,0
122.0, elevID,3,  pos,3,  cmd, goto,3
123.0, elevID,2,  pos,0,  cmd, goto,0
123.0, elevID,3,  pos,3,  cmd, goto,3
124.0, elevID,2,  pos,0,  cmd, goto,0
124.0, elevID,3,  pos,3,  cmd, goto,3
125.0, elevID,2,  pos,0,  cmd, goto,0
125.0,Elevator call,124.42557095980362,0,9,1,0, got allocated to elevator, 0
125.0,Elev,2,  arrived at src, 0, Elevator call,124.42557095980362,0,9,2,0
125.0, elevID,2,  pos,0,  cmd, goto,0
125.0, elevID,3,  pos,3,  cmd, goto,3
126.0, elevID,2,  pos,0,  cmd, goto,0
126.0, elevID,3,  pos,3,  cmd, goto,3
127.0, elevID,2,  pos,0,  cmd, goto,0
127.0, elevID,3,  pos,3,  cmd, goto,3
128.0, elevID,2,  pos,0,  cmd, goto,0
128.0, elevID,3,  pos,3,  cmd, goto,3
129.0, elevID,2,  pos,0,  cmd, goto,0
129.0, elevID,3,  pos,3,  cmd, goto,3
130.0, elevID,2,  pos,0,  cmd, goto,0
130.0, elevID,3,  pos,3,  cmd, goto,3
131.0, elevID,3,  pos,3,  cmd, goto,3
131.0,Elevator call,130.02495678190564,8,10,1,1, got allocated to elevator, 1
131.0, elevID,2,  pos,0,  cmd, goto,0
131.0,Elevator call,130.224911275492,-1,1,1,0, got allocated to elevator, 0
131.0, elevID,2,  pos,0,  cmd, goto,0
131.0, elevID,3,  pos,3,  cmd, goto,3
132.0, elevID,2,  pos,0,  cmd, goto,0
132.0, elevID,3,  pos,3,  cmd, goto,3
133.0, elevID,2,  pos,0,  cmd, goto,0
133.0, elevID,3,  pos,3,  cmd, goto,3
134.0, elevID,2,  pos,0,  cmd, goto,0
134.0, elevID,3,  pos,3,  cmd, goto,3
135.0, elevID,2,  pos,0,  cmd, goto,0
135.0, elevID,3,  pos,3,  cmd, goto,3
136.0, elevID,2,  pos,0,  cmd, goto,0
136.0, elevID,3,  pos,3,  cmd, goto,3
137.0, elevID,2,  pos,0,  cmd, goto,0
137.0, elevID,3,  pos,3,  cmd, goto,3
138.0, elevID,2,  pos,0,  cmd, goto,0
138.0,Elevator call,137.9515274326701,0,4,1,0, got allocated to elevator, 0
138.0,Elev,2,  arrived at src, 0, Elevator call,137.9515274326701,0,4,2,0
138.0, elevID,2,  pos,0,  cmd, goto,0
138.0, elevID,3,  pos,3,  cmd, goto,3
139.0, elevID,2,  pos,0,  cmd, goto,0
139.0, elevID,3,  pos,3,  cmd, goto,3
140.0, elevID,2,  pos,0,  cmd, goto,0
140.0, elevID,3,  pos,3,  cmd, goto,3
141.0, elevID,2,  pos,0,  cmd, goto,0
141.0, elevID,3,  pos,3,  cmd, goto,3
142.0, elevID,2,  pos,0,  cmd, goto,0
