**** The Simulator log: stage 9
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-10,100]
0) ex0.simulator.Elevator_A, Elev_0, speed: 5.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 10.0, open/close: 2.0,  start/stop: 3.0
2) ex0.simulator.Elevator_A, Elev_2, speed: 2.0, open/close: 2.0,  start/stop: 3.0
3) ex0.simulator.Elevator_A, Elev_3, speed: 12.0, open/close: 2.0,  start/stop: 3.0
4) ex0.simulator.Elevator_A, Elev_4, speed: 2.0, open/close: 2.0,  start/stop: 3.0
5) ex0.simulator.Elevator_A, Elev_5, speed: 3.0, open/close: 2.0,  start/stop: 3.0
6) ex0.simulator.Elevator_A, Elev_6, speed: 4.0, open/close: 2.0,  start/stop: 3.0
7) ex0.simulator.Elevator_A, Elev_7, speed: 4.0, open/close: 2.0,  start/stop: 3.0
8) ex0.simulator.Elevator_A, Elev_8, speed: 4.0, open/close: 2.0,  start/stop: 3.0
9) ex0.simulator.Elevator_A, Elev_9, speed: 4.0, open/close: 2.0,  start/stop: 3.0
55.0, elevID,55,  pos,-7,  cmd, goto,-7
56.0, elevID,52,  pos,-3,  cmd, goto,-3
56.0, elevID,53,  pos,-8,  cmd, goto,-8
56.0, elevID,55,  pos,-7,  cmd, goto,-7
57.0, elevID,52,  pos,-3,  cmd, goto,-3
57.0, elevID,53,  pos,-8,  cmd, goto,-8
57.0, elevID,55,  pos,-7,  cmd, goto,-7
58.0, elevID,52,  pos,-3,  cmd, goto,-3
58.0, elevID,53,  pos,-8,  cmd, goto,-8
58.0, elevID,55,  pos,-7,  cmd, goto,-7
59.0, elevID,52,  pos,-3,  cmd, goto,-3
59.0, elevID,53,  pos,-8,  cmd, goto,-8
59.0, elevID,55,  pos,-7,  cmd, goto,-7
60.0, elevID,53,  pos,-8,  cmd, goto,-8
60.0,Elevator call,59.41774733953457,-6,16,1,1, got allocated to elevator, 1
60.0,Elevator call,59.8832891414022,-1,95,1,6, got allocated to elevator, 6
60.0, elevID,52,  pos,-3,  cmd, goto,-3
60.0, elevID,53,  pos,-8,  cmd, goto,-8
60.0, elevID,55,  pos,-7,  cmd, goto,-7
60.0, elevID,58,  pos,-10,  cmd, goto,-1
61.0, elevID,52,  pos,-3,  cmd, goto,-3
61.0, elevID,53,  pos,-8,  cmd, goto,-8
61.0, elevID,55,  pos,-7,  cmd, goto,-7
62.0, elevID,52,  pos,-3,  cmd, goto,-3
62.0,Elevator call,61.94089619280976,-3,60,1,0, got allocated to elevator, 0
62.0,Elev,52,  arrived at src, -3, Elevator call,61.94089619280976,-3,60,2,0
62.0, elevID,52,  pos,-3,  cmd, goto,-3
62.0, elevID,53,  pos,-8,  cmd, goto,-8
62.0, elevID,55,  pos,-7,  cmd, goto,-7
63.0, elevID,52,  pos,-3,  cmd, goto,-3
63.0, elevID,53,  pos,-8,  cmd, goto,-8
63.0, elevID,55,  pos,-7,  cmd, goto,-7
64.0, elevID,52,  pos,-3,  cmd, goto,-3
64.0, elevID,53,  pos,-8,  cmd, goto,-8
64.0, elevID,55,  pos,-7,  cmd, goto,-7
65.0, elevID,52,  pos,-3,  cmd, goto,-3
65.0, elevID,53,  pos,-8,  cmd, goto,-8
65.0, elevID,55,  pos,-7,  cmd, goto,-7
66.0,Elevator call,65.68076513617825,-2,61,1,7, got allocated to elevator, 7
66.0, elevID,52,  pos,-3,  cmd, goto,-3
66.0, elevID,53,  pos,-8,  cmd, goto,-8
66.0, elevID,55,  pos,-7,  cmd, goto,-7
66.0, elevID,59,  pos,-10,  cmd, goto,-2
67.0, elevID,52,  pos,-3,  cmd, goto,-3
67.0, elevID,53,  pos,-8,  cmd, goto,-8
67.0, elevID,55,  pos,-7,  cmd, goto,-7
68.0, elevID,52,  pos,-3,  cmd, goto,-3
68.0, elevID,53,  pos,-8,  cmd, goto,-8
68.0, elevID,55,  pos,-7,  cmd, goto,-7
69.0, elevID,52,  pos,-3,  cmd, goto,-3
69.0, elevID,53,  pos,-8,  cmd, goto,-8
69.0, elevID,55,  pos,-7,  cmd, goto,-7
